session,session_path,frame,time_sec,occlusion_event,phase_label,detected,source_pixel_x,source_pixel_y,raw_x_m,raw_z_m,raw_distance_m,x_m,z_m,distance_m,area_px,contact_samples,bbox_width_px,bbox_height_px,bbox_aspect_ratio,bbox_fill_ratio,contour_solidity,measurement_available,measurement_accepted,rejection_reason,predicted_x_m,predicted_z_m,innovation_x_m,innovation_z_m,innovation_cov_xx,innovation_cov_xz,innovation_cov_zz,nis,track_available,track_predicted,filtered_x_m,filtered_z_m,filtered_distance_m,relative_vx_mps,relative_vz_mps,missing_age_sec
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,0,0.0,,,1,315.5,445.0,-0.04611676354260626,0.8724155348965337,0.8736335738789173,-0.00542891010211452,0.8724155348965337,0.872432426376795,3809.0,20,62,72,0.8611111111111112,0.8532706093189965,0.9602924492625741,True,True,initialized,,,,,,,,,1,0,-0.005428910255432129,0.8724155426025391,0.8724324340836053,0.0,0.0,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,1,0.03333333333333333,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3782.5,20,61,72,0.8472222222222222,0.8612249544626593,0.9618563254926892,True,True,accepted,-0.005428910255432129,0.8724155426025391,-0.006857226602733135,0.0003298521041870117,0.0020784721709787846,0.0,0.0020784721709787846,0.02267548255622387,1,0,-0.009316886775195599,0.8726025819778442,0.8726523193423497,-0.027630524709820747,0.001329106860794127,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,2,0.06666666666666667,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3767.5,20,60,72,0.8333333333333334,0.8721064814814815,0.9662734034367787,True,True,accepted,-0.010237904265522957,0.8726468682289124,-0.0020482325926423073,9.85264778137207e-05,0.001895808964036405,0.0,0.001895808964036405,0.002218031557276845,1,0,-0.01131377648562193,0.8726986050605774,0.8727719386031177,-0.03947162628173828,0.0018987014191225171,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,3,0.1,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3789.5,20,60,72,0.8333333333333334,0.877199074074074,0.96843853820598,True,True,accepted,-0.012629497796297073,0.8727619051933289,0.00034336093813180923,-1.6510486602783203e-05,0.0018957407446578145,0.0,0.0018957407446578145,6.233411841094494e-05,1,0,-0.012449147179722786,0.8727532625198364,0.8728420467097818,-0.037568431347608566,0.001807186403311789,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,4,0.13333333333333333,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3791.5,20,61,72,0.8472222222222222,0.8632741347905283,0.9589023773394031,True,True,accepted,-0.013701428659260273,0.8728135228157043,0.0014152918010950089,-6.812810897827148e-05,0.0018194911535829306,0.0,0.0018194911535829306,0.0011034362250939012,1,0,-0.012986201792955399,0.8727790713310242,0.8728756777402222,-0.03100709058344364,0.001491342205554247,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,5,0.16666666666666666,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3792.0,20,60,72,0.8333333333333334,0.8777777777777778,0.9672235684223951,True,True,accepted,-0.014019771479070187,0.8728287816047668,0.0017336346209049225,-8.338689804077148e-05,0.0017065037973225117,0.0,0.0017065037973225117,0.0017652714159339666,1,0,-0.013200445100665092,0.8727893829345703,0.8728892018544872,-0.0245064590126276,0.0011786653194576502,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,6,0.2,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3785.0,20,62,72,0.8611111111111112,0.847894265232975,0.9571374383613604,True,True,accepted,-0.014017326757311821,0.8728286623954773,0.0017311898991465569,-8.32676887512207e-05,0.0015999670140445232,0.0,0.0015999670140445232,0.0018775087082758546,1,0,-0.013259951025247574,0.8727922439575195,0.8728929644656293,-0.019221089780330658,0.0009244468528777361,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,7,0.23333333333333334,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3788.0,20,61,72,0.8472222222222222,0.8624772313296903,0.9616653973089616,True,True,accepted,-0.013900654390454292,0.8728230595588684,0.0016145175322890282,-7.766485214233398e-05,0.0015127676306292415,0.0,0.0015127676306292415,0.0017270983662456274,1,0,-0.013246671296656132,0.872791588306427,0.8728921072611994,-0.015118592418730259,0.0007271000649780035,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,8,0.26666666666666666,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3783.0,20,60,72,0.8333333333333334,0.8756944444444444,0.9695028190671451,True,True,accepted,-0.013750623911619186,0.8728158473968506,0.0014644870534539223,-7.045269012451172e-05,0.0014447893481701612,0.0,0.0014447893481701612,0.0014878888614475727,1,0,-0.013198407366871834,0.8727892637252808,0.8728890518451584,-0.011934890411794186,0.0005739404004998505,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,9,0.3,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3783.0,20,60,72,0.8333333333333334,0.8756944444444444,0.9683860232945092,True,True,accepted,-0.01359623670578003,0.8728083968162537,0.0013100998476147652,-6.300210952758789e-05,0.001392763340845704,0.0,0.001392763340845704,0.0012351925252005458,1,0,-0.01313272025436163,0.8727861046791077,0.8728849024139492,-0.009426887147128582,0.0004533316823653877,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,10,0.3333333333333333,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3790.5,20,62,72,0.8611111111111112,0.8491263440860215,0.958164812942366,True,True,accepted,-0.013446949422359467,0.8728012442588806,0.0011608125641942024,-5.5849552154541016e-05,0.0013533529127016664,0.0,0.0013533529127016664,0.000997969531454146,1,0,-0.013058094307780266,0.8727825284004211,0.8728802069631221,-0.007414800114929676,0.0003565252118278295,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,11,0.36666666666666664,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3784.0,20,62,72,0.8611111111111112,0.8476702508960573,0.9561591914087176,True,True,accepted,-0.01330525428056717,0.8727943897247314,0.001019117422401905,-4.8995018005371094e-05,0.0013238159008324146,0.0,0.0013238159008324146,0.000786363787483424,1,0,-0.012978986836969852,0.8727787137031555,0.8728752128412451,-0.005774511490017176,0.00027766681159846485,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,12,0.4,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3775.0,20,60,72,0.8333333333333334,0.8738425925925926,0.9678246378669402,True,True,accepted,-0.01317147072404623,0.8727879524230957,0.0008853338658809662,-4.2557716369628906e-05,0.001301999669522047,0.0,0.001301999669522047,0.0006034004618413746,1,0,-0.012898119166493416,0.8727748394012451,0.8728701402670974,-0.0044225179590284824,0.00021267692500259727,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,13,0.43333333333333335,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3777.0,20,60,72,0.8333333333333334,0.8743055555555556,0.9680891964628989,True,True,accepted,-0.01304553635418415,0.8727819323539734,0.0007593994960188866,-3.653764724731445e-05,0.0012862063013017178,0.0,0.0012862063013017178,0.0004494011518545449,1,0,-0.012817513197660446,0.8727709650993347,0.8728650790156497,-0.003302949480712414,0.00015881014405749738,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,14,0.4666666666666667,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3789.5,20,61,72,0.8472222222222222,0.8628187613843351,0.9576699519838261,True,True,accepted,-0.012927611358463764,0.8727762699127197,0.0006414745002985001,-3.0875205993652344e-05,0.0012750697787851095,0.0,0.0012750697787851095,0.00032346684020012617,1,0,-0.012738917954266071,0.8727672100067139,0.8728601737354895,-0.0023778474424034357,0.00011428348807385191,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,15,0.5,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3782.0,20,60,72,0.8333333333333334,0.875462962962963,0.9711131082295545,True,True,accepted,-0.012818179093301296,0.8727710247039795,0.0005320422351360321,-2.562999725341797e-05,0.0012674726312980056,0.0,0.0012674726312980056,0.00022385163174476475,1,0,-0.012663925997912884,0.8727635741233826,0.8728554469889626,-0.0016202284023165703,7.778681174386293e-05,0.0
phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,/home/robo25/Downloads/202609161835.tar.xz::phase5_camera_synthetic_odom_dryrun_r02_20260916_183117_154,16,0.5333333333333333,,,1,313.5,445.0,-0.057400873046014975,0.8727453776272018,0.8746309818409658,-0.012286136409727588,0.8727453776272018,0.8728318528316468,3788.0,20,60,72,0.8333333333333334,0.8768518518518519,0.9692937563971341,True,True,accepted,-0.012717933394014835,0.8727661967277527,0.00043179653584957123,-2.0802021026611328e-05,0.0012624971568584442,0.0,0.0012624971568584442,0.00014802487567067146,1,0,-0.012593952938914299,0.8727602362632751,0.8728510970680826,-0.001009325380437076,4.8356243496527895e-05,0.0
